id,message,Total_comments,Total_reactions,Total_like,Total_love,Total_haha,Total_wow,Total_sad,Total_angry,Total_likes
24,"Cloud computing is one of the most in-demand tech skills.   Explore Data Science Academy, in partnership with AWS, ensures that our students gain the must-have knowledge and practical experience in this skill.  Listen to this podcast to hear more from Clive Charlton (Head of Solution Architecture at AWS) and Shaun Dippnall (CEO & Co-founder of EDSA). - https://open.spotify.com/episode/0j9LgFJmWRY5ytROMGbMQp?si=JSHddgaZS3O579t_HZa4uA&utm_source=native-share-menu&nd=1  Join one of our courses before Monday, the 17th of January, to learn this valuable skill.   Data Science - https://explore-datascience.net/course/info/1/3/online  Data Engineering - https://explore-datascience.net/course/info/3/3/online  #cloudcomputing #aws #elearning #techskills #datascience #dataengineering",3,18,15,3,0,0,0,0,15
25,Still on the fence if you should enrol in our data science course?  This article discusses five indisputable reasons why you should.  https://www.careerlauncher.com/data-school-pgpdsbda/data-science-course.html  Enrol now! - https://explore-datascience.net/course/info/1/3/online  #machinelearning #datasience #elearning #careerdevelopment,1,4,4,0,0,0,0,0,4
26,One week to go until our part-time 2022 courses start!   Data Science: https://explore-datascience.net/course/info/1/3/online  Data Engineering: https://explore-datascience.net/course/info/3/3/online  #datascience #dataengineering #elearning #bigdata #machinelearning,0,11,8,3,0,0,0,0,8
28,You have the option to choose between a Data Science and Data Engineering course.   Select your course of choice and enrol today.   https://explore-datascience.net/course/info/3/3/online  #dataengineering #datascience #cloudcomputing #bigdata #elearning #newcareer,0,5,5,0,0,0,0,0,5
29,There is just more than a week remaining to enrol for our Data Science course starting on the 17th of January. It will be the best decision you make this year.  https://explore-datascience.net/course/info/1/3/online  #datascience #africa #enrolnow #sql #machinelearning #python,3,8,8,0,0,0,0,0,8
30,The data science and data engineering courses start soon. Make sure you enrol in the next two weeks to not miss out on learning practical skills to land you an exciting role in these fields.   Data Science: https://explore-datascience.net/course/info/1/3/online  Data Engineering: https://explore-datascience.net/course/info/3/3/online  #learning #datascience #dataengineering #southafrica #africa,0,8,8,0,0,0,0,0,8
31,EXPLORE - The Pursuit of Betterness.  https://www.youtube.com/watch?v=pox2Z1rlJjY,0,10,7,3,0,0,0,0,7
32,"Advent of Code is the perfect way to improve your coding and problem-solving skills over December with two challenges per day.   ""Advent of Code is an Advent calendar of small programming puzzles for a variety of skill sets and skill levels that can be solved in any programming language you like.""  Follow this link - https://adventofcode.com/2021/about  #adventofcode #programming #challenges #learningeveryday #coding",0,16,16,0,0,0,0,0,16
33,New to the data science field and want to add some projects to your portfolio?   Data Flair provides a list of sixteen different projects from beginners to advanced.   Why not plan to do one or two of these over the upcoming holidays?   https://data-flair.training/blogs/data-science-project-ideas/  #datasciencewithpython #predictivemodeling #python #datascience,5,49,45,4,0,0,0,0,45
34,"As elections are a hot topic this week, let's make it part of your data science journey. This article provides a step by step approach on how you can visualise election data by using Python.   https://towardsdatascience.com/visualising-elections-with-python-4973c0c60bbe  #datascience #python #elections #visualisation",0,25,25,0,0,0,0,0,25
