id,parent_id,message,created_time,updated_time,Total_Summary,Total _reactions_summary,Total_like_summary,Total_love_summary,Total_haha_summary,Total_wow_summary,Total_sad_summary,Total_angry_summary,Total_likes_summary,likes.summary.total_count_1
26,1,"""Shift the goals, muster the resources, and align people"" - AI and Data need the change and the people in order to run successfully.  https://sloanreview.mit.edu/article/getting-serious-about-data-and-data-science/",10/6/2020 20:00,10/6/2020 20:04,0,4,4,0,0,0,0,0,4,4
28,1,https://www.itweb.co.za/content/dgp45va6r9g7X9l8,10/5/2020 17:56,10/5/2020 17:56,0,10,9,1,0,0,0,0,9,9
29,1,Remember to apply for our one year FULL DATA SCIENCE COURSE! Fully sponsored. Learn the newest digital skills. Build a smart future!   https://explore-datascience.net/find-your-course  https://www.bizcommunity.com/Article/196/379/208187.html,9/29/2020 20:08,10/20/2020 14:18,4,10,8,2,0,0,0,0,8,8
30,1,"""Data is a precious thing and will last longer than the systems themselves"" - Tim Berners-lee, Inventor of the World Wide Web  APPLY FOR THE DATA SCIENCE COURSE --> https://explore-datascience.net/long-courses/data-science/2/2  https://www.bizcommunity.com/Article/196/379/208187.html",9/19/2020 10:00,10/20/2020 14:34,1,11,11,0,0,0,0,0,11,11
31,1,?? COVID resistant learning platform. ?? Sponsored by a leading company. ?? +R360 000 average starting salary. ?? Only need a matric to qualify.  Apply now for the one year Data Science course in Johannesburg and Cape Town!  https://explore-datascience.net/long-courses/data-science/2/2  https://stuff.co.za/2020/09/09/explore-data-science-academy-learnerships-for-2021-are-now-open-for-registration/,9/18/2020 12:00,10/20/2020 14:19,4,13,13,0,0,0,0,0,13,13
32,1,AI needs to be ethical. Biases and representation are hot topics for AI!  Interested in the world of the AI? Apply for our one year Data Science course - sponsored and accredited!  https://explore-datascience.net/long-courses/data-science/2/2  https://diginomica.com/why-ai-industry-urgently-needs-more-uncomfortable-conversations-about-bame-representation,9/17/2020 19:00,9/17/2020 19:00,0,6,6,0,0,0,0,0,6,6
33,1,What makes AI successful?  https://www.forbes.com/sites/forbestechcouncil/2020/09/14/the-surprisingly-critical-yet-often-undervalued-ingredient-for-ai-success/,9/16/2020 20:00,9/16/2020 20:00,0,2,2,0,0,0,0,0,2,2
34,1,Building a work space for data science? Here are some tips to keep a culture with data.  https://www.analyticsinsight.net/top-10-steps-build-data-driven-work-culture/,9/15/2020 20:00,9/15/2020 20:00,0,3,3,0,0,0,0,0,3,3
35,1,How much do our graduates earn after completing our one year Data Science course? ??  Applications for the sponsored courses in Cape Town and Johannesburg are now open!   https://explore-datascience.net/long-courses/data-science/2/2  https://businesstech.co.za/news/enterprise/432382/this-company-tracked-the-placement-of-85-data-science-graduates-in-south-africa-heres-how-much-they-earn/,9/14/2020 20:00,9/29/2020 16:04,2,10,10,0,0,0,0,0,10,10
36,1,What does evolution in the data industry teach us? Here are some lessons  on how to execute a great data plan!  https://www.iol.co.za/business-report/opinion/opinion-what-the-evolution-of-data-analytics-can-teach-us-about-business-success-0f3aad40-943b-4c4e-af49-81841974ebcb,9/12/2020 20:00,9/12/2020 20:00,0,8,8,0,0,0,0,0,8,8
37,1,Great to be in partnership with Zindi and watching a fellow African company reach new heights!  https://ventureburn.com/2020/09/sa-tech-startup-launches-new-recruitment-platform-for-data-scientists/,9/11/2020 20:00,9/11/2020 20:00,0,15,11,4,0,0,0,0,11,11
38,1,Our applications for our 1 year Data Science course is now open! What does it entail?  ? A one year comprehensive course training you as a data scientist ? Fully paid for and sponsored by a big corporate company ? Get a foot into the world of AI and programming ? R360 000 average salary  ? 90+ graduation rate   APPLY HERE > https://explore-datascience.net/long-courses/data-science/2   https://www.techfinancials.co.za/2020/09/10/hundreds-of-free-fully-accredited-data-science-learnerships-up-for-grabs/,9/10/2020 19:00,10/20/2020 16:11,1,20,15,5,0,0,0,0,15,15
39,1,"EXPLORE welcomes our newest CTO - Kevin Tretheway. Kevin has over 20 years in the Software industry and has been the head engineer at a Silicon Valley based company. He started his career in an academy very much like the EXPLORE Data Science Academy without university training, and EXPLORed his way to the top!   Welcome to the team!",9/9/2020 20:00,9/10/2020 14:20,1,46,38,8,0,0,0,0,38,38
40,1,How has data shaped the new normal? How is society benefiting from the AI boom?  https://talkiot.co.za/2020/09/07/making-ai-accessible-to-everyone/,9/8/2020 20:00,9/8/2020 20:00,0,2,1,1,0,0,0,0,1,1
41,1,Data breaches have become major problems. AI is redefining how we tackle cybersecurity.  https://www.dcvelocity.com/articles/47087-how-ai-and-machine-learning-are-redefining-cybersecurity,9/7/2020 20:00,9/7/2020 20:00,0,4,4,0,0,0,0,0,4,4
