Username,Datetime,Tweet Id,Text,likeCount,Media,Source,ReplyCount,RetweetCount
2Uinc,2022-03-30 13:19:46+00:00,1509158443877380097,"Today’s the day! @Agarwaledu discusses the future of learning and work with @AccentureTech’s @RahulVarma123 and @ArthurELevine, co-author of “The Great Upheaval: Higher Education’s Past, Present, and Uncertain Future.” Join us for edX Live at 2pm ET. https://t.co/pgB4oYHi62 https://t.co/cQOpkaUnxm",1,"[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1509158363808083970/pu/img/XQcpef4RkLLwenvT.jpg', variants=[VideoVariant(contentType='application/x-mpegURL', url='https://video.twimg.com/ext_tw_video/1509158363808083970/pu/pl/jA4_J-t92vSCyLjV.m3u8?tag=12&container=fmp4', bitrate=None), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1509158363808083970/pu/vid/640x360/NsUurqdYphKAS2Go.mp4?tag=12', bitrate=832000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1509158363808083970/pu/vid/1280x720/V1lCSsXyJ1n4HgOr.mp4?tag=12', bitrate=2176000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1509158363808083970/pu/vid/480x270/d9u9pahQfv-gBrxn.mp4?tag=12', bitrate=256000)], duration=3.0, views=172)]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,0
2Uinc,2022-03-29 15:42:30+00:00,1508831974756077573,"“As a software engineer, I want to focus my energy and attention on making cool stuff and pursuing what really interests me. That feels like the best way to honor the work of previous women who paved the path before me,” Olivia, 2U Software Engineer. https://t.co/oNf7lBS2wV",4,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,0
2Uinc,2022-03-29 13:43:04+00:00,1508801921733341199,"Join us tomorrow for the first episode of edX Live! @Agarwaledu hosts @AccentureTech’s @RahulVarma123 and @ArthurELevine, co-author of “The Great Upheaval: Higher Education’s Past, Present, and Uncertain Future,” on the future of learning and work. RSVP 👉 https://t.co/pgB4oYHi62 https://t.co/gvOxom2WSa",3,"[Photo(previewUrl='https://pbs.twimg.com/media/FPBV3iGXEAEotlQ?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FPBV3iGXEAEotlQ?format=jpg&name=large')]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,2
2Uinc,2022-03-28 15:55:27+00:00,1508472848087719942,"“We keep talking about ‘women speak up, women speak out,’ but are we listening?” asks Sophia Ngugi, who creates safe havens where women can be heard with our partner @RESCUEorg. 

Learn how Sophia is breaking the bias that enables violence against women. https://t.co/L6Q5k4j4Xi",6,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,0
2Uinc,2022-03-24 13:40:22+00:00,1506989301065728000,"How can companies identify promising talent &amp; equip professionals w/ the skills they need? Our SVP of Workforce Engagement @JenniferKHenry identifies 4 ways tech leaders like @Microsoft, @Amazon &amp; @Netflix are rethinking recruiting practices today: https://t.co/oLUjou9l41",6,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,2
2Uinc,2022-03-23 16:20:31+00:00,1506667215579488262,"Join us on March 30th for @edXonline Live! @agarwaledu hosts @ArthurELevine, co-author of “The Great Upheaval: Higher Education’s Past, Present, and Uncertain Future,” and @AccentureTech's @rahulvarma123 on the future of learning and work. RSVP: https://t.co/pgB4oYHi62 https://t.co/XK9vR2Cc75",5,"[Photo(previewUrl='https://pbs.twimg.com/media/FOjBv5fXwAwzKqv?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FOjBv5fXwAwzKqv?format=jpg&name=large')]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,0
2Uinc,2022-03-22 14:42:27+00:00,1506280150580838411,"@RubiconTech_ To borrow Columbia's motto, ""In Lumine Tuo Videbimis Lumen!💡""",1,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,1
2Uinc,2022-03-22 14:00:35+00:00,1506269612421398536,"Searching for innovation in higher ed? Look to HBCUs. Earlier this month, the presidents of @Morehouse, @SpelmanCollege, and @PaulQuinn1872 met at @SXSWEDU to discuss new education-to-career pathways for a post-pandemic world. Here’s a recap: https://t.co/xhH1AsCukp",11,,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",0,4
2Uinc,2022-03-21 16:03:47+00:00,1505938227458367489,"“I just needed a master’s program that would fit into my busy schedule—or else it was going to be a deal-breaker,” says Stacy Jones, who found a high-quality online FNP master’s program that fit her schedule with @SimmonsNursing. #NoBackRow https://t.co/Br5iL8t462",2,,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",0,3
2Uinc,2022-03-18 17:26:04+00:00,1504871771199180807,"When Alexia Tanski learned that women leave the tech industry at a 45% higher rate than men, she wasn’t discouraged. Instead, she was determined to help change that statistic. 
#WomensHistoryMonth
Learn how: https://t.co/rUtf3qTVqI",3,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,0
