,Title,Published_date,Views,Likes,Dislikes,Comments,post_type,Month,date,day_name
188,Michael Todisco  MLB 2012 Attendance,2016-02-25T01:04:39Z,44,0,0,0,youtube#video,Feb,2016-02-25 01:04:39+00:00,Thursday
189,Interactive Data Visualization of Gender Pay Gap in the United States by Wendy Yu,2016-02-25T01:03:21Z,307,0,0,0,youtube#video,Feb,2016-02-25 01:03:21+00:00,Thursday
190,Brett Amdur Undestanding Regression Diagnostic An Online Tool,2016-02-25T01:01:33Z,72,0,0,0,youtube#video,Feb,2016-02-25 01:01:33+00:00,Thursday
191,Amy Ma How AirBnB is in NYC?,2016-02-25T00:53:45Z,196,0,0,0,youtube#video,Feb,2016-02-25 00:53:45+00:00,Thursday
192,Sricharan Maddineni Investigating Airport Connectedness,2016-02-24T20:44:21Z,111,3,3,0,youtube#video,Feb,2016-02-24 20:44:21+00:00,Wednesday
193,Learn Deep Learning with one of the most world well known scholars Yann LeCun,2016-02-18T22:00:33Z,775,11,11,0,youtube#video,Feb,2016-02-18 22:00:33+00:00,Thursday
194,R in Financial Risk Analytics Applications by Bill Foote,2016-02-11T02:38:41Z,2247,12,12,0,youtube#video,Feb,2016-02-11 02:38:41+00:00,Thursday
195,12 Week Data Science Bootcamp Student Project Demo Sentiment Analysis of Presidential Candidates,2015-12-18T01:10:28Z,217,1,1,1,youtube#video,Dec,2015-12-18 01:10:28+00:00,Friday
196,12 Week Data Science Bootcamp Students project Demo from David Comfort,2015-12-17T22:54:28Z,147,0,0,0,youtube#video,Dec,2015-12-17 22:54:28+00:00,Thursday
197,12 week Data Science Bootcamp Students project demo The Great Escape,2015-12-17T22:34:50Z,343,2,2,0,youtube#video,Dec,2015-12-17 22:34:50+00:00,Thursday
198,12 week Data Science Bootcamp Students Machine Learning project demo Zillow For Investment Banking,2015-12-15T21:10:33Z,609,1,1,0,youtube#video,Dec,2015-12-15 21:10:33+00:00,Tuesday
199,"Kaggle Competion ""Walmart Recruiting: Trip Type Classification""",2015-12-15T20:26:55Z,4916,34,34,0,youtube#video,Dec,2015-12-15 20:26:55+00:00,Tuesday
200,12 week Data Science Bootcamp Students Machine Learning project demo Hillary Clinton Emails Explorer,2015-12-10T00:19:21Z,430,0,0,0,youtube#video,Dec,2015-12-10 00:19:21+00:00,Thursday
201,12 week Data Science Bootcamp Students Machine Learning project demo Lucky Numbers,2015-12-09T23:55:51Z,1076,3,3,0,youtube#video,Dec,2015-12-09 23:55:51+00:00,Wednesday
202,12 week Data Science Bootcamp Students Machine Learning project demo Rossman Kaggle,2015-12-09T23:49:15Z,1235,11,11,0,youtube#video,Dec,2015-12-09 23:49:15+00:00,Wednesday
203,Official Owen Zhang Video,2015-10-09T14:48:23Z,5860,36,36,2,youtube#video,Oct,2015-10-09 14:48:23+00:00,Friday
204,"Learn Kaggle techniques from Kaggle #1, Owen Zhang",2015-10-09T14:45:09Z,27490,419,419,9,youtube#video,Oct,2015-10-09 14:45:09+00:00,Friday
205,Use python and Spark to dig into 2.5GB log report/Find your twitter superfan,2015-10-01T20:24:48Z,894,4,4,0,youtube#video,Oct,2015-10-01 20:24:48+00:00,Thursday
206,Medicare open data and its potential applications by DataiKu,2015-09-19T21:25:30Z,363,3,3,1,youtube#video,Sep,2015-09-19 21:25:30+00:00,Saturday
207,Apply XgBoost in Kaggle Competition,2015-09-18T21:38:52Z,10838,51,51,3,youtube#video,Sep,2015-09-18 21:38:52+00:00,Friday
208,R Shiny demo: Trading Strategy backtesting and Find Fastest subway in NYC,2015-09-17T22:48:01Z,5942,26,26,0,youtube#video,Sep,2015-09-17 22:48:01+00:00,Thursday
209,"Kaggle Winning Solution Xgboost Algorithm - Learn from Its Author, Tong He",2015-09-04T21:55:41Z,59932,557,557,24,youtube#video,Sep,2015-09-04 21:55:41+00:00,Friday
210,Real Open Data Ben Wellington,2015-08-04T01:16:40Z,215,1,1,0,youtube#video,Aug,2015-08-04 01:16:40+00:00,Tuesday
211,SAS to R Meet Up,2015-08-03T22:45:00Z,463,2,2,0,youtube#video,Aug,2015-08-03 22:45:00+00:00,Monday
212,Ben Wellington gives talk to NYC Data Science Academy,2015-07-31T19:21:25Z,144,1,1,0,youtube#video,Jul,2015-07-31 19:21:25+00:00,Friday
