,Title,Published_date,Views,Likes,Dislikes,Comments,post_type,Month,date,day_name
48,Student Spotlight | Lisa Kelbe,2019-05-31T08:45:14Z,2306,23,23,1,youtube#video,May,2019-05-31 08:45:14+00:00,Friday
49,Our office move,2019-04-15T13:06:30Z,493,8,8,1,youtube#video,Apr,2019-04-15 13:06:30+00:00,Monday
50,HyperionDev Rebrand,2018-09-17T14:12:44Z,337,11,11,0,youtube#video,Sep,2018-09-17 14:12:44+00:00,Monday
51,How It Works | HyperionDev,2018-08-15T08:19:29Z,13044,13,13,1,youtube#video,Aug,2018-08-15 08:19:29+00:00,Wednesday
52,HyperionDev's 1:1 On-Demand Mentorship,2018-05-07T15:57:16Z,346,6,6,0,youtube#video,May,2018-05-07 15:57:16+00:00,Monday
53,Learn to code - HyperionDev Success Story,2018-01-23T12:59:33Z,2810,5,5,0,youtube#video,Jan,2018-01-23 12:59:33+00:00,Tuesday
54,Learn with HyperionDev - Merousha Success Story,2018-01-23T12:57:17Z,3525,8,8,0,youtube#video,Jan,2018-01-23 12:57:17+00:00,Tuesday
55,"""Become a Developer in 2018"" Info Session",2017-12-15T08:29:17Z,1491,21,21,2,youtube#video,Dec,2017-12-15 08:29:17+00:00,Friday
56,"""Coding as a Career"" Info Session",2017-11-07T11:32:38Z,484,7,7,1,youtube#video,Nov,2017-11-07 11:32:38+00:00,Tuesday
57,Learn to code with HyperionDev,2017-10-09T08:02:25Z,6866,1,1,0,youtube#video,Oct,2017-10-09 08:02:25+00:00,Monday
58,"""Web Developer Bootcamp"" Info Session",2017-10-03T10:03:08Z,708,19,19,2,youtube#video,Oct,2017-10-03 10:03:08+00:00,Tuesday
59,How It Works | HyperionDev,2017-09-20T14:34:29Z,14565,27,27,1,youtube#video,Sep,2017-09-20 14:34:29+00:00,Wednesday
