,Title,Published_date,Views,Likes,Dislikes,Comments,post_type,Month,date,day_name
31,Is it Wise To Witch Careers During The COVID-19 Pandemic? | Simplilearn Community | #Shorts,2022-04-21T07:02:45Z,1724,54,54,0,youtube#video,Apr,2022-04-21 07:02:45+00:00,Thursday
32,Java and Python Online Course | Learn Java and Python | Java and Python Full Course | Simplilearn,2022-04-21T00:57:01Z,11831,282,282,0,youtube#video,Apr,2022-04-21 00:57:01+00:00,Thursday
33,Neural Network Architectures | Types of Neural Network Architectures | Neural Network | Simplilearn,2022-04-20T15:30:00Z,2770,89,89,1,youtube#video,Apr,2022-04-20 15:30:00+00:00,Wednesday
34,Scripting Vs Programming | Sricpting And Programming Differences Explained | #Shorts | Simplilearn,2022-04-20T13:46:17Z,1901,82,82,1,youtube#video,Apr,2022-04-20 13:46:17+00:00,Wednesday
35,What Is Version Control? | Version Control Explained In 1 Minute | #Shorts | Simplilearn,2022-04-20T13:38:17Z,911,55,55,1,youtube#video,Apr,2022-04-20 13:38:17+00:00,Wednesday
36,Pearson's Correlation Coefficient | Correlation Coefficient Explained | Statistics | Simplilearn,2022-04-20T09:31:14Z,3038,49,49,1,youtube#video,Apr,2022-04-20 09:31:14+00:00,Wednesday
37,How To Build A Personal Brand And Unlock Career Success In 2022 | Career Tips 2022 | Simplilearn,2022-04-19T16:47:19Z,8443,208,208,0,youtube#video,Apr,2022-04-19 16:47:19+00:00,Tuesday
38,Top 10 Student Resolutions For 2022 | New Year's Resolutions For Students | Simplilearn,2022-04-19T15:30:09Z,3246,151,151,1,youtube#video,Apr,2022-04-19 15:30:09+00:00,Tuesday
39,20+ Digital Marketing Tools To Grow Your Business In 2022 | Top Digital Marketing Tools |Simplilearn,2022-04-19T15:30:03Z,2594,94,94,1,youtube#video,Apr,2022-04-19 15:30:03+00:00,Tuesday
40,Hyperlink In Excel Explained | Excel Hyperlink Tutorial | Excel Tutorial For Beginners | Simplilearn,2022-04-19T08:47:05Z,6580,105,105,1,youtube#video,Apr,2022-04-19 08:47:05+00:00,Tuesday
41,Introduction To Raspberry Pi 4 | What Is Raspberry Pi? | Raspberry Pi 4 Explained | Simplilearn,2022-04-18T15:52:05Z,3572,79,79,5,youtube#video,Apr,2022-04-18 15:52:05+00:00,Monday
42,5 Best Platforms to Learn Blockchain in 2022 | Top Blockchain Platforms 2022 | #Shorts | Simplilearn,2022-04-18T13:51:29Z,2134,160,160,3,youtube#video,Apr,2022-04-18 13:51:29+00:00,Monday
43,CNN and RNN: In Depth Video | CNN and RNN In Deep Learning Explained | Deep Learning | Simplilearn,2022-04-18T13:16:48Z,16465,170,170,14,youtube#video,Apr,2022-04-18 13:16:48+00:00,Monday
44,DataTypes In C | What Are DataTypes In C and Their Types | C Programming for Beginners | Simplilearn,2022-04-17T16:07:05Z,7108,130,130,5,youtube#video,Apr,2022-04-17 16:07:05+00:00,Sunday
45,Arduino And Raspberry Pi : In depth Comparision | Arduino Vs Raspberry Pi Tutorial | Simplilearn,2022-04-17T15:30:02Z,1838,52,52,6,youtube#video,Apr,2022-04-17 15:30:02+00:00,Sunday
